Feat0;Feat1;Feat2;Feat3;Feat4;Feat5;Feat6;Feat7;Feat8;Feat9;Feat10;Feat11;Feat12;Feat13;Feat14;Feat15;Feat16;Feat17;Target
1;2;1;974430;1828;20;20;0;2;1;0;1;0;0;0;0;20600;20000;0
0;1;1;36460;902;4;-14;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;29500;92;-21;6;0;1;1;0;0;0;0;0;0;300;300;0
0;0;1;21480;537;-32;2;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;2600;116;-76;-40;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;23490;595;76;54;0;1;0;1;0;0;0;0;0;1000;1000;0
0;0;0;1400;58;-62;-47;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;13960;293;-12;12;0;1;0;0;1;0;0;0;0;30000;30000;0
1;0;0;11010;319;32;90;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;26830;192;-77;-88;0;1;1;0;0;0;0;0;0;600;600;0
0;0;1;28380;628;14;26;0;1;0;0;1;0;0;0;0;20000;20000;0
0;0;0;12470;124;61;-38;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;25450;504;-15;-3;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;4120;67;-40;-59;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;10320;311;-65;-38;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;22450;568;47;29;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;20890;386;-25;-18;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;14050;271;-3;2;0;1;0;0;0;1;0;0;0;300000;300000;0
1;1;1;32240;702;77;47;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;29990;354;79;35;0;1;1;0;0;0;0;0;0;400;400;0
1;0;1;172250;1250;-43;-50;0;2;0;1;1;0;0;0;0;73000;70000;0
0;0;0;11390;89;47;94;0;1;1;0;0;0;0;0;0;300;300;0
0;1;0;3110;164;-73;-54;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;140090;380;-40;-46;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;24840;609;92;87;1;0;0;0;0;0;0;0;0;0;0;0
0;0;1;17860;321;-44;-50;0;1;1;0;0;0;0;0;0;400;400;0
0;1;1;54820;585;-41;-37;0;3;1;2;0;0;0;0;0;5600;3000;0
0;0;0;58200;219;-27;-38;0;1;0;1;0;0;0;0;0;3000;3000;0
1;1;1;32180;934;44;57;0;1;1;0;0;0;0;0;0;400;400;0
1;0;0;15600;548;67;83;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;25480;429;-14;2;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;15380;418;37;50;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;24490;1079;10;82;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;15870;312;31;26;0;1;0;1;0;0;0;0;0;4000;4000;0
0;0;0;4580;91;-72;-50;0;1;0;1;0;0;0;0;0;1000;1000;0
0;0;0;3030;29;15;-28;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5310;287;-58;15;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;69390;1107;104;16;1;2;1;1;0;0;0;0;0;3700;3000;0
0;1;1;37840;468;-57;-47;0;2;2;0;0;0;0;0;0;1200;600;0
0;0;0;3110;23;6;-42;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;154470;263;-21;-24;0;3;1;2;0;0;0;0;0;8400;6000;0
0;1;0;11130;126;-47;-40;0;3;1;2;0;0;0;0;0;4900;3000;0
1;1;1;924910;1869;-14;-19;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;16000;313;-38;-36;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;581540;2102;7;-23;0;2;1;1;0;0;0;0;0;6500;6000;1
0;1;1;576200;1558;15;-22;0;6;3;3;0;0;0;0;0;21300;8000;1
1;0;1;25400;398;-29;-8;0;2;0;2;0;0;0;0;0;6000;4000;0
0;0;0;75930;305;-38;-27;0;1;0;1;0;0;0;0;0;6000;6000;0
0;1;1;6360;274;-51;-16;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5050;55;99;38;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;28140;443;-6;-14;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;21240;138;-50;-52;0;1;1;0;0;0;0;0;0;700;700;0
0;2;1;40750;725;3;18;2;0;0;0;0;0;0;0;0;0;0;0
0;0;1;2102300;4014;27;26;0;2;0;2;0;0;0;0;0;4000;3000;0
0;0;0;13520;363;8;45;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;43600;194;-48;-48;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6910;25;-85;-66;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;22860;313;-42;-16;0;6;1;3;2;0;0;0;0;70500;50000;0
1;1;1;20160;317;-30;-28;0;1;1;0;0;0;0;0;0;300;300;0
0;0;1;19820;527;73;89;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6860;282;-45;13;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3320;98;-52;-44;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;32620;718;0;17;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;38330;1042;-1;-3;0;1;1;0;0;0;0;0;0;600;600;0
1;0;0;10020;370;0;6;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;33900;682;7;29;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;950;46;-68;15;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;12000;379;-5;64;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2440;16;-27;-60;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;35370;656;41;5;2;1;1;0;0;0;0;0;0;200;200;0
1;1;1;571990;1608;0;-18;0;4;0;3;1;0;0;0;0;44000;30000;0
1;0;1;570400;1892;-17;-7;0;2;0;2;0;0;0;0;0;11000;7000;0
0;0;0;51230;222;-68;-57;0;1;0;1;0;0;0;0;0;3000;3000;0
0;0;0;9050;17;-79;-81;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;17000;336;1;28;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;6920;100;-26;-69;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;32830;1134;17;75;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;51320;239;11;23;0;1;0;1;0;0;0;0;0;6000;6000;0
0;1;0;11230;383;19;22;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;17360;380;-37;-9;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;28300;569;-41;-20;0;1;0;1;0;0;0;0;0;8000;8000;0
1;0;1;36410;646;152;142;0;0;0;0;0;0;0;0;0;0;0;1
1;0;1;11390;233;-66;-55;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;61310;931;274;227;1;1;0;1;0;0;0;0;0;3000;3000;0
1;0;1;16470;668;-57;-38;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;26470;37;-8;-47;0;2;2;0;0;0;0;0;0;900;600;0
1;1;1;45680;1276;84;92;0;1;1;0;0;0;0;0;0;500;500;0
0;0;1;11410;250;-67;-57;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;37110;484;17;-3;0;1;0;1;0;0;0;0;0;1000;1000;0
1;0;1;6920;158;-41;-32;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;20020;49;88;22;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;26190;246;-29;-33;0;3;2;0;1;0;0;0;0;20500;20000;0
1;2;1;45020;936;-1;35;1;1;0;1;0;0;0;0;0;1000;1000;0
0;0;0;2610;39;5;-2;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;15930;177;-57;-29;0;2;1;1;0;0;0;0;0;2600;2000;0
1;0;1;56550;1092;93;120;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;10680;506;3;44;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;48110;433;92;-13;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;4400;120;-57;-36;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2770;45;-67;-79;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;38360;759;29;83;0;1;0;1;0;0;0;0;0;7000;7000;0
0;1;0;14970;409;39;69;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7020;98;-44;-61;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;17320;586;-17;-6;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;71840;255;54;28;0;1;0;1;0;0;0;0;0;6000;6000;0
0;0;1;15160;180;-33;-55;0;1;1;0;0;0;0;0;0;500;500;0
0;1;0;22930;328;88;36;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;19390;469;-39;10;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;16460;586;79;92;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;8980;189;-14;-50;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;17370;379;-42;-26;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;54920;801;102;70;0;1;1;0;0;0;0;0;0;200;200;0
0;1;1;763520;2079;5;36;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;185910;2451;8;24;0;8;4;4;0;0;0;0;0;11300;4000;0
0;0;1;48390;532;104;16;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;17180;310;-50;-47;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;568200;1834;-16;-7;0;4;2;1;1;0;0;0;0;32700;30000;1
0;0;0;1070;17;-73;-65;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;39390;460;27;50;0;6;5;1;0;0;0;0;0;4800;2000;0
0;0;0;8180;273;-28;12;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;4890;162;97;88;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;25180;592;39;24;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;9820;167;-60;-58;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;3560;83;-79;-67;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;54030;335;-3;13;0;6;3;3;0;0;0;0;0;13300;9000;0
0;0;1;80100;867;150;35;0;2;1;1;0;0;0;0;0;1500;1000;0
0;1;1;21350;376;-38;-31;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;64200;198;86;35;0;1;1;0;0;0;0;0;0;500;500;0
1;0;1;16220;753;50;61;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;31690;656;82;13;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;18240;87;-53;-72;0;2;1;1;0;0;0;0;0;2500;2000;0
1;0;0;72370;581;-79;-70;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;61770;1062;31;90;0;6;2;4;0;0;0;0;0;10800;6000;1
0;0;0;8790;53;-91;-91;0;1;0;1;0;0;0;0;0;3000;3000;0
1;0;1;33780;525;18;17;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;31800;769;295;313;1;0;0;0;0;0;0;0;0;0;0;1
0;0;1;33660;248;9;28;0;4;2;2;0;0;0;0;0;11100;8000;0
0;0;0;2020;18;-76;-76;0;1;1;0;0;0;0;0;0;400;400;0
0;0;0;157450;418;-33;-31;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;36940;439;45;-1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;35010;390;18;-13;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;122850;886;-58;-52;0;3;2;1;0;0;0;0;0;6900;6000;1
0;0;1;29240;217;-71;-85;0;2;0;2;0;0;0;0;0;8000;5000;0
1;1;1;59950;815;105;67;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;273200;2387;89;71;0;2;1;1;0;0;0;0;0;3400;3000;0
0;0;0;11730;59;-53;-88;0;1;1;0;0;0;0;0;0;300;300;0
0;0;0;59210;175;-54;-61;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;2210;34;-64;-51;0;2;1;1;0;0;0;0;0;3400;3000;0
0;1;1;19170;158;-44;-46;0;2;1;1;0;0;0;0;0;4500;4000;0
0;1;1;134640;611;-41;-16;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;43270;673;29;28;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;8050;30;-81;-78;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5890;301;-43;-13;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;39760;211;-38;-39;0;3;3;0;0;0;0;0;0;1600;900;0
0;0;1;27450;512;16;0;0;1;1;0;0;0;0;0;0;300;300;0
0;1;1;8450;164;-70;-66;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;34350;462;15;5;0;0;0;0;0;0;0;0;0;0;0;1
0;0;1;101050;213;-8;9;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;37610;1004;11;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;8560;210;-18;2;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1190;9;-45;-78;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;13330;443;29;26;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;7340;166;-53;-54;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;5240;18;-96;-96;0;1;1;0;0;0;0;0;0;600;600;0
0;0;1;46170;404;53;45;0;1;1;0;0;0;0;0;0;700;700;0
1;1;1;49030;1026;71;34;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;23050;202;-33;-32;1;4;2;2;0;0;0;0;0;5100;3000;0
0;1;1;16980;451;-30;-38;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;5280;294;-40;-1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;72460;150;166;180;1;1;0;1;0;0;0;0;0;1000;1000;0
1;0;1;21000;466;-10;-1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7460;240;-28;-32;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;179710;274;5;-42;0;4;3;1;0;0;0;0;0;3000;2000;0
0;0;1;54830;694;46;68;0;5;3;2;0;0;0;0;0;4000;1000;0
0;1;0;8070;404;270;278;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;27780;386;-15;-8;0;1;0;1;0;0;0;0;0;5000;5000;0
0;0;1;189840;1276;-50;-45;0;6;1;5;0;0;0;0;0;17900;7000;1
0;1;1;34170;610;19;23;0;1;1;0;0;0;0;0;0;500;500;0
0;0;1;32580;494;150;89;0;3;3;0;0;0;0;0;0;1600;700;0
1;0;1;15650;664;45;42;0;1;1;0;0;0;0;0;0;800;800;0
0;0;1;48710;547;41;-3;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;47840;594;106;27;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;69880;855;144;72;0;2;2;0;0;0;0;0;0;1200;800;0
1;1;1;17720;266;-32;-45;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;28500;337;-26;-22;0;1;1;0;0;0;0;0;0;400;400;0
1;0;1;163510;1534;13;23;0;2;0;1;1;0;0;0;0;72000;70000;0
0;0;0;14000;160;81;-20;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;108010;889;-70;-60;0;4;1;2;1;0;0;0;0;41200;30000;0
0;0;1;30110;868;73;49;0;1;0;1;0;0;0;0;0;4000;4000;0
1;1;0;4330;160;-65;-36;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;4050;34;-31;-37;0;1;1;0;0;0;0;0;0;600;600;0
0;0;0;3540;186;62;74;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;25460;412;-14;-2;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;7000;131;-40;-56;0;1;0;1;0;0;0;0;0;1000;1000;0
1;0;0;136810;746;-41;-47;0;1;0;0;1;0;0;0;0;40000;40000;0
0;2;1;52510;917;23;39;1;1;0;1;0;0;0;0;0;4000;4000;0
1;0;1;32310;194;-56;-49;0;4;1;2;1;0;0;0;0;28400;20000;0
1;1;1;38240;410;47;-15;0;1;1;0;0;0;0;0;0;100;100;0
0;0;0;11190;27;4;-32;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;16480;401;-35;-10;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;8900;38;-83;-77;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;71360;827;143;67;0;2;1;1;0;0;0;0;0;4700;4000;0
1;0;1;58660;728;87;63;0;2;1;1;0;0;0;0;0;2400;2000;0
0;2;1;38620;719;-4;13;2;1;1;0;0;0;0;0;0;500;500;0
1;0;1;5890;166;-60;-56;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;38400;555;62;21;0;2;0;2;0;0;0;0;0;12000;8000;0
0;0;0;1620;55;-85;-72;0;0;0;0;0;0;0;0;0;0;0;1
0;0;1;4150;262;-64;-49;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;19200;418;131;149;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;27830;190;-79;-90;0;4;0;4;0;0;0;0;0;19000;8000;0
0;0;0;3530;27;30;-32;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;121400;1063;-23;-29;0;2;0;2;0;0;0;0;0;8000;6000;0
0;2;1;1124850;2153;37;39;0;3;1;2;0;0;0;0;0;3900;2000;0
0;0;0;5840;102;-17;-39;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;61140;306;22;-69;0;8;5;2;1;0;0;0;0;89400;80000;1
1;0;1;110510;708;-58;-58;0;4;2;1;1;0;0;0;0;44200;40000;0
1;0;1;27810;265;-6;11;0;1;1;0;0;0;0;0;0;500;500;0
0;0;0;41120;132;-21;-43;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;14370;338;-44;-24;0;1;1;0;0;0;0;0;0;400;400;0
0;1;0;58410;113;84;88;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;10970;342;17;9;0;1;1;0;0;0;0;0;0;500;500;0
0;0;1;395110;1043;46;40;0;3;0;3;0;0;0;0;0;6000;2000;0
0;1;1;14990;185;-49;-51;0;2;1;1;0;0;0;0;0;4500;4000;1
0;0;1;107100;1003;-28;-21;0;3;3;0;0;0;0;0;0;1600;600;1
0;0;0;100;4;-96;-90;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;1600;11;-66;-72;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;10820;524;16;75;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;690550;3915;28;29;0;3;1;1;1;0;0;0;0;34400;30000;1
0;1;1;31340;726;109;92;1;2;1;1;0;0;0;0;0;9500;9000;0
1;1;1;30150;691;13;52;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;12950;428;-38;-31;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3390;13;55;-68;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;5820;308;-37;-1;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;32490;595;-7;7;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;31250;430;-16;2;0;3;0;3;0;0;0;0;0;4000;2000;1
1;0;1;27020;294;334;-5;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;10640;62;-68;-43;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;8620;172;-17;-55;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;301550;922;32;66;0;1;0;1;0;0;0;0;0;3000;3000;0
1;1;1;31620;208;-64;-45;0;2;1;0;1;0;0;0;0;40400;40000;1
0;1;1;28780;1294;-18;26;0;0;0;0;0;0;0;0;0;0;0;0
0;2;1;43730;832;10;35;2;0;0;0;0;0;0;0;0;0;0;0
0;1;0;48650;73;-51;-51;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;69660;362;-10;-8;0;2;2;0;0;0;0;0;0;800;500;1
0;1;1;31390;376;-7;18;0;2;0;2;0;0;0;0;0;6000;4000;1
1;0;1;17120;332;-37;-30;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;21520;477;-32;-5;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;590510;1780;23;-6;0;1;1;0;0;0;0;0;0;800;800;0
0;0;1;27540;291;28;-24;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;7370;110;-63;-46;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;15040;458;50;32;0;1;1;0;0;0;0;0;0;400;400;0
0;1;0;23000;157;-28;-17;0;1;0;1;0;0;0;0;0;2000;2000;0
1;1;1;176830;1297;54;56;0;5;2;2;1;0;0;0;0;36200;30000;0
0;1;1;22830;608;53;61;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;117040;328;-57;-45;0;1;0;1;0;0;0;0;0;2000;2000;0
1;0;1;39120;651;13;18;0;2;2;0;0;0;0;0;0;1000;900;0
0;0;1;12610;157;-61;-52;0;1;0;1;0;0;0;0;0;2000;2000;0
0;0;0;8780;178;279;91;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;26360;459;154;21;1;2;2;0;0;0;0;0;0;700;500;0
0;0;1;8620;201;-51;-37;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;6880;250;-43;1;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;8550;205;-15;-11;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;21060;588;-37;-36;1;0;0;0;0;0;0;0;0;0;0;1
0;1;1;582700;1232;-32;-28;0;1;0;1;0;0;0;0;0;7000;7000;0
0;0;0;5170;19;-27;-52;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;8190;64;-11;36;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;64990;802;77;32;0;1;0;1;0;0;0;0;0;4000;4000;0
0;0;1;52780;350;-30;-16;0;1;1;0;0;0;0;0;0;200;200;0
0;0;0;560;7;-84;-82;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;34900;946;6;76;0;1;0;1;0;0;0;0;0;4000;4000;0
0;0;0;203850;476;-14;-32;0;1;0;1;0;0;0;0;0;3000;3000;0
0;1;0;68200;137;-5;-38;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;18820;299;75;24;0;1;0;1;0;0;0;0;0;4000;4000;0
0;1;0;11500;35;13;-30;1;0;0;0;0;0;0;0;0;0;0;0
1;1;0;2970;142;-71;-61;1;0;0;0;0;0;0;0;0;0;0;0
0;1;1;6340;102;-62;-60;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;32660;290;31;-42;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;5630;98;64;86;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;1049580;1807;31;21;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;3380;262;-68;-30;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;20760;324;41;6;0;1;1;0;0;0;0;0;0;400;400;1
1;0;0;18440;398;122;137;0;1;1;0;0;0;0;0;0;200;200;0
1;0;1;45070;1016;214;145;0;0;0;0;0;0;0;0;0;0;0;0
1;1;0;6710;164;-35;-55;1;0;0;0;0;0;0;0;0;0;0;0
1;0;1;577770;2765;27;38;0;1;0;1;0;0;0;0;0;2000;2000;1
1;1;1;45520;1214;177;164;1;0;0;0;0;0;0;0;0;0;0;0
1;1;1;87060;1043;212;122;0;2;1;1;0;0;0;0;0;2800;2000;0
0;0;1;122640;979;10;21;0;6;4;2;0;0;0;0;0;9200;6000;1
1;0;0;12340;125;-88;-79;0;1;1;0;0;0;0;0;0;400;400;0
0;1;0;24150;364;176;90;0;1;0;1;0;0;0;0;0;5000;5000;0
0;1;1;26120;341;62;39;0;1;1;0;0;0;0;0;0;400;400;0
0;1;0;15300;29;-19;-45;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;49660;747;48;36;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;33400;749;81;52;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;29290;235;-20;24;0;1;1;0;0;0;0;0;0;500;500;0
0;0;0;41340;89;42;12;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;22720;181;-9;-64;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;390180;938;6;33;0;0;0;0;0;0;0;0;0;0;0;0
0;1;1;30980;480;11;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;0;13550;326;8;30;0;0;0;0;0;0;0;0;0;0;0;0
